temperatura (°C),vibracion (mm/s),corriente (A),rpm,tiempo_operacion (h),presion (Pa),humedad (%),mantenimiento_reciente,eficiencia (%),carga (%),horas_ultimo_mantenimiento,falla,tipo_falla
67.45071229516849,-15.743894985874427,11.624108625128091,500.0,327.3012790070132,25762.40317977297,17.71837283533825,0,79.90040801850135,64.00150335071308,205.38800277262715,0,Sin falla
57.92603548243223,3.2290754898450196,14.277406646422412,741.8844967661494,493.75930221218323,25465.85891616146,27.3813833252442,1,78.7605994046067,64.79872099807835,187.50531320939768,0,Sin falla
69.71532807151038,8.731358602933414,11.037900395000193,875.9183399735067,503.6033744088893,12043.56827369985,21.158796328515102,0,77.85840871101122,80.74545028054854,214.60744210593995,0,Sin falla
82.84544784612038,64.86164771640149,13.460192351804798,1500.0,594.5260691686811,26699.098082985627,29.040083625177246,0,79.94767435473635,93.87431011512089,214.01179730012473,1,Falla de sobrecalentamiento
56.48769937914996,43.383555974266585,5.531926665231072,1166.9659373601276,226.6283273438347,37328.29081821745,35.716993785776225,0,74.32914427361105,63.03441331604304,214.6084414103663,1,Falla de vibración
56.487945645762295,-16.47894944540572,16.066468536864694,599.3555292700325,618.5134547694661,17257.67880923205,56.74308972662769,1,85.14590218063984,57.6246491085418,205.74225451388764,0,Sin falla
83.68819223261087,44.84012252757135,15.00602737681112,1145.8108868252912,100.0,40484.826510505925,33.57681922588595,1,71.02928244400701,87.26920331343675,243.43991691527748,1,Falla de sobrecalentamiento
71.51152093729362,-19.498326383078123,10.914556844659046,535.8088033184904,374.0230895272379,34877.74821084338,10.0,0,82.69882256414172,74.34992213884621,201.15521730003655,0,Sin falla
52.95788421097572,62.79025260715154,18.296228342162024,1324.807316166122,402.3452315096911,22657.666780289623,62.80135692990321,0,78.36732073732715,91.60996267971905,151.10305822236808,1,Falla de vibración
68.13840065378947,0.7396689198732034,19.68785068813279,858.6626044546364,626.6653652142477,28584.703626621525,23.258197327699207,0,74.14537553096274,56.884055732577046,169.37885545495658,1,Falla de eficiencia
