cantidad_producto (kg),distancia (km),costo_combustible (por litro),eficiencia_combustible (km por litro),tarifas_peaje (por viaje),tarifas_almacenamiento (por día),tiempo_transporte (horas),costos_mano_obra (por hora),costos_mantenimiento (por km),costos_adicionales,costo_total_transporte
5993.428306022465,75.55204262059634,1.0136506395035068,7.771837283533825,6.433554313771704,59.40027322493323,1.2604234232999318,11.507747157998745,0.05,46.5339226732051,440.17536204592227
4723.47139765763,128.44249947483337,1.0968796511060916,8.73813833252442,26.118634836200318,52.0676399242419,1.711970083583446,23.92142376631876,0.10108133152967824,88.68098656594017,473.09984175196325
6295.377076201385,67.19373936649835,1.1018016872044447,8.11587963285151,46.608026802913784,30.27119001801507,1.5153340539864346,13.673939820009018,0.08292397924973474,16.108424691711154,443.17119240573396
8046.059712816051,109.07530010405445,1.1472630345843406,8.904008362517725,22.8916341189791,60.33650531648902,1.521924675968925,29.428942582427634,0.1446538717282846,10.366913548223678,570.518963488422
4531.693250553328,50.0,0.9633141636719175,9.571699378577623,33.121511140480536,93.12699263458597,1.0676875002846442,12.277001365471882,0.05,0.2728744513015746,373.7461374468451
4531.726086101638,183.69811068311205,1.1592567273847332,11.674308972662768,40.09184040304146,42.38610752409815,4.429842195922655,25.76125325936374,0.119543495390098,31.400037561212667,494.783679252629
8158.425631014783,148.59217538748658,0.8295608368397225,9.357681922588595,40.276637561384945,42.48032841296268,3.133336675807668,19.59182819994378,0.05801012963256496,14.741376648442738,588.6000027916083
6534.869458305818,65.55643462003556,1.037011544763619,6.828748586460815,28.36760370778721,38.778217380380056,0.9285386753217582,18.16698715080628,0.07444473938356075,21.998549513811117,447.59230428279085
4061.0512281300958,286.9321189459464,1.0511726157548456,12.28013569299032,43.607837543105134,40.21171531011159,5.105095627905951,20.926983282338806,0.05,1.1238982665376929,433.7380951665725
6085.120087171929,379.01286065242203,1.163332682607124,8.32581973276992,22.612014201368613,10.0,5.060196366910569,23.159501695789064,0.2,22.71954146877032,605.5396728045276
4073.1646143750754,50.0,1.102263085267687,9.882559145790742,44.99119466531592,58.100707717114254,0.81982935496649,15.477997488345652,0.12752784664131162,33.27115819323739,364.663810282402
4068.540492859486,69.21898823433877,0.9594436946143714,10.893073013881423,15.810222487799539,33.088956472907725,1.6928091074730947,15.921061374157139,0.061632625703091776,3.1567496409881324,292.79711191605696
5483.924543132068,68.77619280282052,1.0015006874182986,10.399220836805565,17.609738314575697,17.794737624164,1.0015676525505093,23.24802432556443,0.05,60.79041242971477,403.7379101971061
1173.439510684404,57.97992899759783,1.1198680009547408,12.188359095042951,7.3904280889550495,65.06379899465098,1.3055803098193866,11.463285231752,0.07521756235603298,56.880034888375796,212.66078924733958
1550.1643349739343,340.17998389104963,1.0920932658135445,10.958006286785517,40.80118264440273,28.35964429916128,4.752764275528569,17.07885453403957,0.1358439767409726,9.703577850992506,317.65870019825473
3875.4249415180548,122.26292652699566,1.0420875890364254,8.277380840605783,23.76748563047175,43.226618922324846,2.6166993331918302,30.0,0.05,59.500977751840104,420.27284621680707
2974.3377593311525,113.91871396730946,1.0519166210488022,14.357124347983323,15.310247626012957,79.3288478237716,2.1167456981035104,15.159935177053596,0.0929207790352831,99.86539186088777,394.24310558102974
5628.4946651905475,50.0,1.169616799715929,10.388666926676466,15.430562492746084,21.81568403950973,0.70971457265158,25.739013958798765,0.18853209362313367,94.44689528115407,446.4411250814503
3183.9518489575785,280.1760148716533,1.0482307427130786,9.705319546756987,45.562997355315495,19.34803530804476,3.5842226893935423,17.07024615643094,0.05,0.2670993367663299,329.82872169730996
2175.392597329417,50.0,1.0911908755970927,11.927850846111141,42.52624702074666,55.38612379124676,0.9114547582918833,22.54522572398572,0.10401925193818276,79.53783113303597,316.54387795543676
7931.297537843107,157.5798998498715,1.3169936588080544,10.498901891860145,29.90888984107325,72.98974728020737,2.1534366579546997,23.27177845298109,0.2,35.36052762364859,636.2213162477666
4548.447399026929,195.85545995231337,0.9576317363116078,10.798456385878655,32.72498601870745,18.51316564536074,4.111872944397439,25.644783675914738,0.13160758148453866,6.365137033462743,433.61872301873103
5135.056409375848,578.6273124720366,0.9148157268425342,14.984367997201375,26.344650674763095,58.15379473674354,8.004562163829481,18.99873086593612,0.10629619102427276,29.598321371620806,619.7579609155198
2150.5036275730863,50.0,1.1783589664798608,9.449757143489906,22.624994429546398,61.61999079923384,0.7541505159667954,29.944423193774266,0.12533182274545016,32.17365163129623,259.02787533466187
3911.2345509496345,50.0,1.0321356938705897,9.364478211965208,46.19645965482491,10.0,1.0480040280591836,17.0533171770741,0.07995673324951488,52.32442393090568,331.46330161511514
5221.845179419732,178.3681271575601,1.0681762472257381,10.233157024024928,10.652571658413592,65.9700267581444,3.423562088621921,21.1711020679978,0.16498156426517202,66.10837672688547,524.350019587441
2698.012845155394,898.3063719121536,1.0218843621868887,12.143031871162076,23.830105537230256,67.53211759684359,19.842937757166354,21.226384661088037,0.08003349885498941,74.9055612208408,869.8529073693908
5751.396036691344,512.3184236609437,1.0740199859232489,6.986931939619202,20.50528585945439,43.764288534879505,9.261219167958862,14.390159400252923,0.05,24.590304256326668,614.0687891771128
3798.72262016239,183.03170977225327,1.2598538112096342,6.0688882170469896,27.416782411301675,75.04692724596016,3.801601719947175,18.5706387251044,0.08043484480297701,32.177057024849695,447.89315091220016
4416.6125004134465,90.77317517464938,1.180212845861812,8.825769458759705,25.593434354532878,72.7291114864969,1.3803723869332254,20.807567496192036,0.05166327350616483,30.83817068597352,395.5416798797795
3796.5867755412064,332.66054864824764,1.1862223511886978,6.732154081881426,28.350028924298663,52.0623585143441,4.169712927085357,17.8393947843529,0.08594029939012854,36.27368681208765,468.10513413625847
8704.556369017875,56.06175215795264,0.9583772944207355,9.150337304948723,11.296353975214734,40.97109219350133,1.3849121678675134,30.0,0.08704579704596846,99.96563089563388,639.7599304833486
4973.005550524133,238.97471930165753,0.9848846263447132,11.004999392258581,28.091367568097468,30.54344214834086,3.8771439831097427,15.806881632002346,0.15987115999024537,77.79433028274258,505.95701237034007
2884.5781420881995,246.0341036793556,0.8160921340514573,8.218502272895472,15.90884662492449,49.248729812676174,3.9086122826549543,25.89712234070214,0.13476463633321928,97.4990465268697,465.6950696149578
6645.089824206378,428.46536551383895,1.0190619178917246,7.146346846437315,13.294910704468606,61.39517839408358,5.5958546400949825,24.28229906574393,0.11316327437876983,69.31110595470572,721.7211787751672
